17,18,19,20,21,busted,blackjack,sum
2 0.13981 0.134908 0.129656 0.124027 0.117994 0.353607 0 1
3 0.135034 0.130483 0.125581 0.120329 0.1147 0.373873 0 1
4 0.13049 0.125938 0.121387 0.116485 0.111233 0.394467 0 1
5 0.122252 0.122252 0.1177 0.113148 0.108246 0.416402 0 1
6 0.165439 0.106267 0.106267 0.101715 0.0971634 0.423149 0 1
7 0.368564 0.137798 0.0786257 0.0786257 0.074074 0.262313 0 1
8 0.128567 0.359334 0.128567 0.0693952 0.0693952 0.244741 0 1
9 0.119996 0.119996 0.350763 0.119996 0.060824 0.228425 0 1
10 0.111425 0.111425 0.111425 0.342192 0.0345015 0.212109 0.0769233 1
A 0.130789 0.130789 0.130789 0.130789 0.0538662 0.115286 0.30769 1


10 0.151009 0.151009 0.151009 0.151009 0.151009 0.244956 0 1
11 0.145501 0.145501 0.145501 0.145501 0.145501 0.272493 0 1
12 0.14001 0.14001 0.14001 0.14001 0.14001 0.299949 0 1
13 0.134561 0.134561 0.134561 0.134561 0.134561 0.327194 0 1
14 0.129176 0.129176 0.129176 0.129176 0.129176 0.354119 0 1
15 0.111425 0.111425 0.111425 0.111425 0.342192 0.212109 0 1
16 0.103466 0.103466 0.103466 0.103466 0.103466 0.48267 0 1
17 0.0960755 0.0960755 0.0960755 0.0960755 0.0960755 0.519623 0 1
18 0.0892129 0.0892129 0.0892129 0.0892129 0.0892129 0.553935 0 1
19 0.0828405 0.0828405 0.0828405 0.0828405 0.0828405 0.585797 0 1
20 0.0769233 0.0769233 0.0769233 0.0769233 0.0769233 0.615383 0 1
21 1 0 0 0 0 0 0 1
22 0 1 0 0 0 0 0 1
23 0 0 1 0 0 0 0 1
24 0 0 0 1 0 0 0 1
25 0 0 0 0 1 0 0 1
26 0 0 0 0 0 1 0 1
27 0 0 0 0 0 0 1 1

DealerCard:A
      Stand           Hit        max(s,h)       double      max(s,h,d)          split
    -0.475375      -0.32128      -0.32128     -0.668131      -0.32128    -0.0485422            14 P
    -0.475375     -0.212845     -0.212845     -0.506707     -0.212845     -0.264731            12 H
    -0.475375      0.256907      0.256907      0.392408      0.392408     -0.297994            10 D
    -0.475375     0.0822059     0.0822059     -0.187734     0.0822059     -0.167923             8 H
    -0.475375     -0.151931     -0.151931     -0.894047     -0.151931    -0.0524541             6 P
    -0.475375    -0.0882777    -0.0882777     -0.950749    -0.0882777    0.00730827             4 P
    -0.475375     -0.212845     -0.212845     -0.506707     -0.212845             0            12 H



DealerCard:8
     0.930605            -1      0.930605            -2      0.930605             0            21 S
     0.791814     -0.851491      0.791814      -1.70298      0.791814             0            20 S
     0.593852     -0.713659      0.593852      -1.42732      0.593852             0            19 S
     0.105951     -0.591055      0.105951      -1.18211      0.105951             0            18 S
     -0.38195     -0.505981      -0.38195      -1.01196      -0.38195             0            17 S
    -0.510517     -0.458439     -0.458439     -0.916878     -0.458439             0            16 H
    -0.510517      -0.41678      -0.41678     -0.841572      -0.41678             0            15 H
    -0.510517     -0.371917     -0.371917     -0.766267     -0.371917             0            14 H
    -0.510517     -0.323603     -0.323603     -0.690962     -0.323603             0            13 H
    -0.510517     -0.271572     -0.271572     -0.615656     -0.271572             0            12 H
    -0.510517       0.22998       0.22998      0.350687      0.350687             0            11 D
     0.930605      0.173947      0.930605      0.275382      0.930605             0            21 S
     0.791814      0.197952      0.791814      0.286631      0.791814             0            20 S
     0.593852      0.152269      0.593852      0.195265      0.593852             0            19 S
     0.105951     0.0396779      0.105951    -0.0299178      0.105951             0            18 S
     -0.38195    -0.0729134    -0.0729134       -0.2551    -0.0729134             0            17 H
    -0.510517    -0.0667924    -0.0667924     -0.314438    -0.0667924             0            16 H
    -0.510517    -0.0270522    -0.0270522     -0.314438    -0.0270522             0            15 H
    -0.510517     0.0132799     0.0132799     -0.314438     0.0132799             0            14 H
    -0.510517     0.0540599     0.0540599     -0.314438     0.0540599             0            13 H
    -0.510517      0.197952      0.197952      0.286631      0.286631             0            10 D
    -0.510517     0.0983748     0.0983748    -0.0264471     0.0983748             0             9 H
    -0.510517    -0.0598984    -0.0598984     -0.451989    -0.0598984             0             8 H
    -0.510517     -0.210603     -0.210603     -0.847075     -0.210603             0             7 H
    -0.510517      -0.21724      -0.21724      -1.00125      -0.21724             0             6 H
    -0.510517     -0.188091     -0.188091      -1.02103     -0.188091             0             5 H
    -0.510517     -0.159332     -0.159332      -1.02103     -0.159332             0             4 H
    -0.510517      -0.13094      -0.13094      -1.02103      -0.13094             0             3 H
    -0.510517      -0.10316      -0.10316      -1.02103      -0.10316             0             2 H
    -0.510517     0.0192411     0.0192411      -1.02103     0.0192411             0             1 H
     0.791814     -0.851491      0.791814      -1.70298      0.791814     -0.609778            20 S
     0.105951     -0.591055      0.105951      -1.18211      0.105951      0.235205            18 P
    -0.510517     -0.458439     -0.458439     -0.916878     -0.458439    -0.0201549            16 P
    -0.510517     -0.371917     -0.371917     -0.766267     -0.371917     -0.392098            14 H
    -0.510517     -0.271572     -0.271572     -0.615656     -0.271572      -0.42603            12 H
    -0.510517      0.197952      0.197952      0.286631      0.286631     -0.458625            10 D
    -0.510517    -0.0598984    -0.0598984     -0.451989    -0.0598984     -0.327643             8 H
    -0.510517      -0.21724      -0.21724      -1.00125      -0.21724     -0.231926             6 H
    -0.510517     -0.159332     -0.159332      -1.02103     -0.159332     -0.176793             4 H
    -0.510517     -0.271572     -0.271572     -0.615656     -0.271572             0            12 H



DealerCard:9
     0.939176            -1      0.939176            -2      0.939176             0            21 S
     0.758356     -0.850832      0.758356      -1.70166      0.758356             0            20 S
     0.287597     -0.715574      0.287597      -1.43115      0.287597             0            19 S
    -0.183161     -0.616527     -0.183161      -1.23305     -0.183161             0            18 S
    -0.423153     -0.553693     -0.423153      -1.10739     -0.423153             0            17 S
    -0.543149      -0.50932      -0.50932      -1.01864      -0.50932             0            16 H
    -0.543149     -0.471576     -0.471576     -0.948356     -0.471576             0            15 H
    -0.543149     -0.430927     -0.430927     -0.878071     -0.430927             0            14 H
    -0.543149     -0.387153     -0.387153     -0.807786     -0.387153             0            13 H
    -0.543149      -0.34001      -0.34001     -0.737501      -0.34001             0            12 H
    -0.543149      0.158256      0.158256      0.227778      0.227778             0            11 D
     0.939176      0.107487      0.939176      0.157493      0.939176             0            21 S
     0.758356      0.116528      0.758356      0.144324      0.758356             0            20 S
     0.287597     0.0078929      0.287597     -0.072947      0.287597             0            19 S
    -0.183161     -0.100743     -0.100743     -0.290218     -0.100743             0            18 H
    -0.423153     -0.149785     -0.149785     -0.400982     -0.149785             0            17 H
    -0.543149     -0.148641     -0.148641     -0.456364     -0.148641             0            16 H
    -0.543149     -0.112186     -0.112186     -0.456364     -0.112186             0            15 H
    -0.543149    -0.0751601    -0.0751601     -0.456364    -0.0751601             0            14 H
    -0.543149    -0.0376915    -0.0376915     -0.456364    -0.0376915             0            13 H
    -0.543149      0.116528      0.116528      0.144324      0.144324             0            10 D
    -0.543149    -0.0521781    -0.0521781     -0.300998    -0.0521781             0             9 H
    -0.543149     -0.210185     -0.210185     -0.718501     -0.210185             0             8 H
    -0.543149     -0.285364     -0.285364     -0.957073     -0.285364             0             7 H
    -0.543149     -0.292639     -0.292639      -1.06784     -0.292639             0             6 H
    -0.543149     -0.266613     -0.266613       -1.0863     -0.266613             0             5 H
    -0.543149     -0.240664     -0.240664       -1.0863     -0.240664             0             4 H
    -0.543149     -0.215074     -0.215074       -1.0863     -0.215074             0             3 H
    -0.543149     -0.190045     -0.190045       -1.0863     -0.190045             0             2 H
    -0.543149     -0.062552     -0.062552       -1.0863     -0.062552             0             1 H
     0.758356     -0.850832      0.758356      -1.70166      0.758356     -0.983073            20 S
    -0.183161     -0.616527     -0.183161      -1.23305     -0.183161    -0.0773874            18 P
    -0.543149      -0.50932      -0.50932      -1.01864      -0.50932     -0.386503            16 P
    -0.543149     -0.430927     -0.430927     -0.878071     -0.430927     -0.578452            14 H
    -0.543149      -0.34001      -0.34001     -0.737501      -0.34001     -0.612177            12 H
    -0.543149      0.116528      0.116528      0.144324      0.144324     -0.638723            10 D
    -0.543149     -0.210185     -0.210185     -0.718501     -0.210185     -0.512933             8 H
    -0.543149     -0.292639     -0.292639      -1.06784     -0.292639     -0.437457             6 H
    -0.543149     -0.240664     -0.240664       -1.0863     -0.240664     -0.387746             4 H
    -0.543149      -0.34001      -0.34001     -0.737501      -0.34001             0            12 H



DealerCard:10
     0.811652            -1      0.811652            -2      0.811652             0            21 S
     0.434959     -0.860642      0.434959      -1.72128      0.434959             0            20 S
   -0.0186575      -0.75026    -0.0186575      -1.50052    -0.0186575             0            19 S
    -0.241507     -0.674772     -0.241507      -1.34954     -0.241507             0            18 S
    -0.464357     -0.616426     -0.464357      -1.23285     -0.464357             0            17 S
    -0.575782     -0.575223     -0.575223      -1.15045     -0.575223             0            16 H
    -0.575782     -0.542547     -0.542547      -1.08518     -0.542547             0            15 H
    -0.575782     -0.507358     -0.507358      -1.01992     -0.507358             0            14 H
    -0.575782     -0.469463     -0.469463     -0.954651     -0.469463             0            13 H
    -0.575782     -0.428652     -0.428652     -0.889387     -0.428652             0            12 H
    -0.575782     0.0333667     0.0333667     0.0120155     0.0333667             0            11 H
     0.811652    -0.0105832      0.811652    -0.0532491      0.811652             0            21 S
     0.434959    -0.0535614      0.434959     -0.161841      0.434959             0            20 S
   -0.0186575     -0.158241    -0.0186575       -0.3712    -0.0186575             0            19 S
    -0.241507     -0.209667     -0.209667     -0.474053     -0.209667             0            18 H
    -0.464357     -0.258644     -0.258644     -0.576905     -0.258644             0            17 H
    -0.575782     -0.268404     -0.268404     -0.628331     -0.268404             0            16 H
    -0.575782     -0.237262     -0.237262     -0.628331     -0.237262             0            15 H
    -0.575782     -0.205659     -0.205659     -0.628331     -0.205659             0            14 H
    -0.575782     -0.173706     -0.173706     -0.628331     -0.173706             0            13 H
    -0.575782    -0.0535614    -0.0535614     -0.161841    -0.0535614             0            10 H
    -0.575782     -0.218109     -0.218109     -0.584652     -0.218109             0             9 H
    -0.575782     -0.307114     -0.307114     -0.843004     -0.307114             0             8 H
    -0.575782     -0.371434     -0.371434      -1.03157     -0.371434             0             7 H
    -0.575782      -0.38869      -0.38869      -1.13442      -0.38869             0             6 H
    -0.575782     -0.366224     -0.366224      -1.15156     -0.366224             0             5 H
    -0.575782     -0.343873     -0.343873      -1.15156     -0.343873             0             4 H
    -0.575782      -0.32184      -0.32184      -1.15156      -0.32184             0             3 H
    -0.575782     -0.300304     -0.300304      -1.15156     -0.300304             0             2 H
    -0.575782     -0.172107     -0.172107      -1.15156     -0.172107             0             1 H
     0.434959     -0.860642      0.434959      -1.72128      0.434959      -1.29909            20 S
    -0.241507     -0.674772     -0.241507      -1.34954     -0.241507     -0.471621            18 S
    -0.575782     -0.575223     -0.575223      -1.15045     -0.575223      -0.62132            16 H
    -0.575782     -0.507358     -0.507358      -1.01992     -0.507358     -0.785687            14 H
    -0.575782     -0.428652     -0.428652     -0.889387     -0.428652     -0.840784            12 H
    -0.575782    -0.0535614    -0.0535614     -0.161841    -0.0535614     -0.855882            10 H
    -0.575782     -0.307114     -0.307114     -0.843004     -0.307114     -0.756951             8 H
    -0.575782      -0.38869      -0.38869      -1.13442      -0.38869     -0.690042             6 H
    -0.575782     -0.343873     -0.343873      -1.15156     -0.343873     -0.647286             4 H
    -0.575782     -0.428652     -0.428652     -0.889387     -0.428652             0            12 H



5    H H H H H H H H H H 
6    H H H H H H H H H H 
7    H H H H H H H H H H 
8    H H H H H H H H H H 
9    H D D D D H H H H H 
10   D D D D D D D D H H 
11   D D D D D D D D H H 
12   H H S S S H H H H H 
13   S S S S S H H H H H 
14   S S S S S H H H H H 
15   S S S S S H H H H H 
16   S S S S S H H H H H 
17   S S S S S S S S S S 
18   S S S S S S S S S S 
19   S S S S S S S S S S 
A2   H H H H D H H H H H 
A3   H H H D D H H H H H 
A4   H H H D D H H H H H 
A5   H H D D D H H H H H 
A6   H D D D D H H H H H 
A7   S D D D D S S H H H 
A8   S S S S S S S S S S 
A9   S S S S S S S S S S 
22   P P P P P P H H H H 
33   P P P P P P H H H H 
44   H H H P P H H H H H 
55   D D D D D D D D H H 
66   P P P P P H H H H H 
77   P P P P P P H H H H 
88   P P P P P P P P H H 
99   P P P P P S P P S S 
1010 S S S S S S S S S S 
AA   H H S S S H H H H H 
