17,18,19,20,21,busted,blackjack,sum
2 0.13981 0.134908 0.129656 0.124027 0.117994 0.353607 0 1
3 0.135034 0.130483 0.125581 0.120329 0.1147 0.373873 0 1
4 0.13049 0.125938 0.121387 0.116485 0.111233 0.394467 0 1
5 0.122252 0.122252 0.1177 0.113148 0.108246 0.416402 0 1
6 0.165439 0.106267 0.106267 0.101715 0.0971634 0.423149 0 1
7 0.368564 0.137798 0.0786257 0.0786257 0.074074 0.262313 0 1
8 0.128567 0.359334 0.128567 0.0693952 0.0693952 0.244741 0 1
9 0.119996 0.119996 0.350763 0.119996 0.060824 0.228425 0 1
10 0.111425 0.111425 0.111425 0.342192 0.0345015 0.212109 0.0769233 1
A 0.130789 0.130789 0.130789 0.130789 0.0538662 0.115286 0.30769 1


10 0.151009 0.151009 0.151009 0.151009 0.151009 0.244956 0 1
11 0.145501 0.145501 0.145501 0.145501 0.145501 0.272493 0 1
12 0.14001 0.14001 0.14001 0.14001 0.14001 0.299949 0 1
13 0.134561 0.134561 0.134561 0.134561 0.134561 0.327194 0 1
14 0.129176 0.129176 0.129176 0.129176 0.129176 0.354119 0 1
15 0.111425 0.111425 0.111425 0.111425 0.342192 0.212109 0 1
16 0.103466 0.103466 0.103466 0.103466 0.103466 0.48267 0 1
17 0.0960755 0.0960755 0.0960755 0.0960755 0.0960755 0.519623 0 1
18 0.0892129 0.0892129 0.0892129 0.0892129 0.0892129 0.553935 0 1
19 0.0828405 0.0828405 0.0828405 0.0828405 0.0828405 0.585797 0 1
20 0.0769233 0.0769233 0.0769233 0.0769233 0.0769233 0.615383 0 1
21 1 0 0 0 0 0 0 1
22 0 1 0 0 0 0 0 1
23 0 0 1 0 0 0 0 1
24 0 0 0 1 0 0 0 1
25 0 0 0 0 1 0 0 1
26 0 0 0 0 0 1 0 1
27 0 0 0 0 0 0 1 1

DealerCard:A
      Stand           Hit        max(s,h)       double      max(s,h,d)          split
    -0.292787     0.0466357     0.0466357    -0.0715732     0.0466357             0            13 H
    -0.292787      0.182497      0.182497      0.358933      0.358933             0            10 D
    -0.292787      0.074443      0.074443     0.0611116      0.074443             0             9 H
    -0.292787     -0.021801     -0.021801     -0.204497     -0.021801             0             8 H
    -0.292787     -0.109186     -0.109186     -0.435764     -0.109186             0             7 H
    -0.292787     -0.140761     -0.140761     -0.564065     -0.140761             0             6 H
    -0.292787     -0.128218     -0.128218     -0.585574     -0.128218             0             5 H
    -0.292787     -0.114915     -0.114915     -0.585574     -0.114915             0             4 H
    -0.292787     -0.100524     -0.100524     -0.585574     -0.100524             0             3 H
    -0.292787    -0.0758851    -0.0758851     -0.585574    -0.0758851             0             2 H
    -0.292787     0.0457627     0.0457627     -0.585574     0.0457627             0             1 H
     0.639986      -0.85523      0.639986      -1.71046      0.639986     -0.427785            20 S
      0.12174     -0.622438       0.12174      -1.24488       0.12174      0.196056            18 P
    -0.292787     -0.470994     -0.292787     -0.941988     -0.292787     0.0760178            16 P
    -0.292787     -0.362191     -0.292787     -0.724383     -0.292787     -0.130528            14 P
    -0.292787     -0.253389     -0.253389     -0.506778     -0.253389     -0.212325            12 P
    -0.292787      0.182497      0.182497      0.358933      0.358933     -0.294008            10 D
    -0.292787     -0.021801     -0.021801     -0.204497     -0.021801     -0.193341             8 H
    -0.292787     -0.140761     -0.140761     -0.564065     -0.140761     -0.137697             6 P
    -0.292787     -0.114915     -0.114915     -0.585574     -0.114915    -0.0841579             4 P
    -0.292787     -0.253389     -0.253389     -0.506778     -0.253389             0            12 H



DealerCard:3
       0.8853            -1        0.8853            -2        0.8853             0            21 S
     0.650271     -0.854976      0.650271      -1.70995      0.650271             0            20 S
     0.404362     -0.728032      0.404362      -1.45606      0.404362             0            19 S
     0.148298     -0.620004      0.148298      -1.24001      0.148298             0            18 S
