5	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
6	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
7	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
8	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
9	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
10	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
11	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
12	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
13	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
14	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
15	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
16	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
17	-0.0361636 -0.00117142 0.0335463 0.0670387 0.112848 -0.0586284 -0.427861 -0.461516 -0.495171 -0.638094 
18	0.205888 0.232401 0.258871 0.282353 0.348511 0.496458 0.114133 -0.26513 -0.311059 -0.422222 
19	0.441422 0.459849 0.478269 0.494703 0.53973 0.673766 0.656127 0.26459 -0.126947 -0.206349 
A2	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
A3	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
A4	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
A5	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
A6	-0.0361636 -0.00117142 0.0335463 0.0670387 0.112848 -0.0586284 -0.427861 -0.461516 -0.495171 -0.638094 
A7	0.205888 0.232401 0.258871 0.282353 0.348511 0.496458 0.114133 -0.26513 -0.311059 -0.422222 
A8	0.441422 0.459849 0.478269 0.494703 0.53973 0.673766 0.656127 0.26459 -0.126947 -0.206349 
A9	0.670028 0.680779 0.691544 0.701128 0.727986 0.80663 0.820343 0.79431 0.390499 0.00952414 
22	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
33	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
44	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
55	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
66	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
77	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
88	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
99	0.205888 0.232401 0.258871 0.282353 0.348511 0.496458 0.114133 -0.26513 -0.311059 -0.422222 
1010	0.670028 0.680779 0.691544 0.701128 0.727986 0.80663 0.820343 0.79431 0.390499 0.00952414 
AA	-0.15877 -0.119439 -0.0805974 -0.0406181 -0.0272064 -0.502838 -0.532191 -0.559709 -0.587227 -0.746031 
